Sample	raw_reads	trimmed_reads	trimmed_frac	deduplicated_reads	deduplicated_frac	host_removed_reads	host_removed_frac	orphan_reads	orphan_frac
P197	41384643	34010620	0.822	19983884	0.483	11010618	0.266	7412824	0.179
P174	22663421	17811935	0.786	10337321	0.456	8464357	0.373	4926607	0.217
P163	26721279	20390724	0.763	10847772	0.406	8869868	0.332	6221637	0.233
P35	40055939	34053000	0.85	21880311	0.546	20976589	0.524	6775221	0.169
P171	29039864	22666693	0.781	9317675	0.321	7540157	0.26	8017778	0.276
P135	41603530	31756005	0.763	14617514	0.351	11606973	0.279	8925313	0.215
P11	30920820	22045599	0.713	7378081	0.239	3851072	0.125	6101662	0.197
P198	12173008	9186453	0.755	6336270	0.521	5279262	0.434	1867953	0.153
P241	43589583	37000686	0.849	17409423	0.399	10714654	0.246	9209926	0.211
P31	31892630	25887601	0.812	13431898	0.421	10789002	0.338	7834252	0.246
P61	32012688	29175721	0.911	15578858	0.487	9682526	0.302	8233842	0.257
P207	22645438	17472258	0.772	9277826	0.41	8622480	0.381	4723330	0.209
P182	22598248	17773508	0.786	9651384	0.427	7817053	0.346	5275934	0.233
P137	31636087	26383157	0.834	23035312	0.728	730663	0.023	368847	0.012
P68	34112221	25109759	0.736	14970331	0.439	11830459	0.347	5841441	0.171
P15	18186010	13535368	0.744	9783546	0.538	7673557	0.422	2679267	0.147
P211	31663463	25914438	0.818	11259248	0.356	9395524	0.297	6242427	0.197
P62	12514968	7488541	0.598	5852750	0.468	4533862	0.362	1337551	0.107
P255	28506442	24797825	0.87	15415600	0.541	10415171	0.365	5419515	0.19
P84	32012558	25452896	0.795	6663438	0.208	4850634	0.152	8891108	0.278
P153	19654026	15478900	0.788	6594118	0.336	5083109	0.259	5154000	0.262
P83a	48415984	40086900	0.828	37281430	0.77	101179	0.002	39283	0.001
P144	27382510	24872428	0.908	5931209	0.217	2862425	0.105	7893550	0.288
P48	31021148	18178952	0.586	11119967	0.358	3526929	0.114	2208776	0.071
P1	22709009	16446672	0.724	12392349	0.546	9628281	0.424	2829343	0.125
P122	27147289	21536761	0.793	9510627	0.35	7535694	0.278	7267659	0.268
P101	24602919	17678287	0.719	8984132	0.365	6663868	0.271	5675138	0.231
P147	30866470	24962283	0.809	14562223	0.472	11588156	0.375	5308208	0.172
P264	37535533	31859385	0.849	20620495	0.549	12899978	0.344	5843366	0.156
P81	32602530	27755089	0.851	22852268	0.701	1102247	0.034	477795	0.015
P199	20015163	14714586	0.735	7552092	0.377	6465241	0.323	4612550	0.23
P155	23951254	17735972	0.741	5525218	0.231	4287988	0.179	6515273	0.272
P18	20513795	15204668	0.741	7972192	0.389	6188512	0.302	4701809	0.229
P94	28083873	21147702	0.753	5805557	0.207	4353675	0.155	6819069	0.243
P148	24987837	19320161	0.773	9670489	0.387	8592064	0.344	5789612	0.232
P203	25957383	20672455	0.796	12585451	0.485	10504015	0.405	4824272	0.186
P83b	29498657	27009157	0.916	4623498	0.157	2848840	0.097	8619050	0.292
P177	25630349	19473385	0.76	11522499	0.45	9140196	0.357	5222692	0.204
P243	29687788	25324013	0.853	14501046	0.488	11370107	0.383	6376105	0.215
P179	21251960	16829026	0.792	6476980	0.305	5223085	0.246	5800691	0.273
P23	24328378	18538219	0.762	12905063	0.53	9239627	0.38	3874356	0.159
P251	37102329	33366449	0.899	9114825	0.246	6461706	0.174	10433324	0.281
P25	29502981	27132382	0.92	9211143	0.312	6122021	0.208	9196419	0.312
P231	24487851	18848591	0.77	10285914	0.42	8134858	0.332	5729893	0.234
P215	31182685	25576889	0.82	9675629	0.31	8049841	0.258	6936591	0.222
P157	29345371	23547242	0.802	10220338	0.348	7797369	0.266	6434880	0.219
P29	31939209	26055156	0.816	16582722	0.519	14212091	0.445	6263589	0.196
P265	45974930	38646153	0.841	25020792	0.544	15005520	0.326	7088503	0.154
P164	30703690	28180501	0.918	4725169	0.154	3374262	0.11	8919245	0.29
P180	24996850	19743075	0.79	5793210	0.232	4276537	0.171	7151471	0.286
P151	35205604	27939973	0.794	10443176	0.297	8039607	0.228	8166077	0.232
P184	22777998	19795716	0.869	5056855	0.222	4102007	0.18	6325569	0.278
P170	20660343	14304690	0.692	9870306	0.478	6462507	0.313	3323601	0.161
P87	26404923	20539131	0.778	3971014	0.15	2027328	0.077	5461975	0.207
P13	27044684	22304955	0.825	11580406	0.428	9142430	0.338	7024690	0.26
P245	33244286	28968510	0.871	17387660	0.523	15206675	0.457	6603652	0.199
P208	25530527	19136014	0.75	11072480	0.434	9700505	0.38	4810806	0.188
P261	39110311	32370379	0.828	15176486	0.388	13673738	0.35	6751022	0.173
P191	29940709	25283442	0.844	8209532	0.274	6578594	0.22	8139393	0.272
P175	23946457	19396983	0.81	8306179	0.347	6512584	0.272	6308184	0.263
P121	18455061	15080617	0.817	10046480	0.544	8129375	0.44	3172199	0.172
P43	42846814	37706251	0.88	11774723	0.275	11666601	0.272	14027348	0.327
P200	32051647	26543828	0.828	14131170	0.441	11307833	0.353	6313113	0.197
P246	43483075	37378635	0.86	20716961	0.476	18912001	0.435	9202185	0.212
P195	27544760	20347737	0.739	12140082	0.441	10268365	0.373	4755469	0.173
P256	46204819	39327247	0.851	26814559	0.58	16634457	0.36	6521730	0.141
P9	29858963	22131493	0.741	14608474	0.489	10685214	0.358	5193422	0.174
P225	29532939	22597643	0.765	12581611	0.426	9595694	0.325	6682433	0.226
P158	29170284	24694776	0.847	4282363	0.147	3300629	0.113	7231396	0.248
P24	49225140	37098192	0.754	10543728	0.214	5948057	0.121	11485025	0.233
P57	19197679	15821137	0.824	8390220	0.437	6989786	0.364	4822998	0.251
P156	27551239	19984029	0.725	7127409	0.259	5275123	0.191	5907809	0.214
P236	33969302	29427696	0.866	16460219	0.485	13425998	0.395	6828235	0.201
P110	38339986	26142059	0.682	12311307	0.321	7905403	0.206	7983111	0.208
P19	22680610	18394192	0.811	8967767	0.395	7137779	0.315	4858877	0.214
P176	26089310	20093514	0.77	12143777	0.465	9907735	0.38	5454842	0.209
P146	23426287	17757012	0.758	10560125	0.451	9485567	0.405	4801232	0.205
