sequencing_id	P122	P127	P13	P137	P153	P155	P157	P184	P190	P198	P20	P205	P211	P218	P225	P231	P237	P243	P249	P256	P26	P262	P33	P44	P5	P63	P75	P81	P84
group	FOS	FOS	FOS	FOS	FOS	FOS	FOS	FOS	FOS	Control	FOS	Control	Control	Control	Control	Control	Control	Control	Control	Control	FOS	Control	FOS	FOS	FOS	Control	Control	Control	Control
Bacteroides	520107.747575941	645649.528863645	2493.47949472834	14164.5425653205	812618.239495073	920214.878753001	296937.111587394	777157.954245084	24677.1482164995	520306.574850868	642154.349741911	276708.680226345	315621.373171044	394.966166654825	267196.394633736	600572.905615494	478873.719931318	633651.30950053	172523.011179083	327342.707140546	30379.5134766035	715460.337930689	277086.715951097	647664.145940882	351539.144074931	24949.9062469697	2258.5310471186	711.636865537267	892004.596095762
Ruminococcus	462.933810803194	6224.9930185172	13482.9261534977	187.932505780665	305.306498138575	1154.73331902132	2441.54241316526	715.576628543894	179.572444500215	9358.87647438128	6621.17587813169	1368.57959064987	7930.41986333106	37.6158253956976	10094.9224215888	268.790186154533	1425.20151060416	8822.45907933004	216.692647212181	49085.0106256768	365.06841090936	11163.2148189497	127.690435565839	1919.51461784209	4020.68997231899	144.096006003094	271.952868173617	227.137635332358	154.157904025332
Roseburia	31.4172017772469	14548.7802427186	11398.8936046301	37.5865011561329	11915.171637314	45.6313535157894	477.947483147677	130.771692102225	93.0315073916778	1121.53301715007	218.053632128919	117.322860724292	387.12680686155	12.5386084652325	19642.1982440338	7447.18253587752	153.078950705268	1539.19846951072	234.298924798171	6698.16830997473	670.707080507894	431.613237967845	89.2686128880939	1544.68508372156	1758.77645381811	91.9858151529185	77.5476641178381	17.4016736746565	523.54719864341
Alistipes	689.29877745464	863.274220946008	36.3421190121232	563.797517341994	119.369498935742	27.8989622531769	102.611000413013	1011.52030312726	1170.46617439297	1849.90430947722	506.609593352638	780.842580227225	24411.0259803208	39.7055934732363	601.223159600314	1222.52040732367	106995.160854159	258.63916164184	615.542550987103	52827.3024020727	121.285186348625	616.880585480373	4458.07835069834	140.348683220109	7030.92524680325	155.424308361828	103.277764654632	4.57938780912013	446.88944308983
Blautia	2479.40797102743	5021.46837205819	327142.185635544	3194.8525982713	13795.4980646116	32469.6634250279	22345.2222234591	1959.55183504049	376.453076422138	23561.322809592	7051.57581098661	13660.3478856718	13373.3682429021	16.71814462031	174202.280881955	12895.5108316412	684.126449158096	49222.0779479342	374.020537948526	38842.0550219182	4081.24652063122	21794.7542547364	433.918096907865	69912.5046598821	30334.2048123767	547.383569974017	1070.6580723366	2879.51905437473	2512.64747667519
unclassified_Lachnospiraceae	2643.47558030861	11596.9103301649	52711.4524612045	846.392322330697	824.90281966782	813.089247361657	15509.6741194506	6071.90419519129	1371.67385317032	8741.2493730946	927.77707834991	43546.2415799329	14543.2681794828	14.6283765427713	62024.5080259481	12970.7310079003	2942.54763231247	23764.1661759795	341.065197851673	26832.8818072059	1368.09690201249	10012.690622831	107.619334167017	48710.5082423417	18149.4295614324	1630.36927546897	355.218332410742	631.955517658577	1012.76688587134
Clostridium	9131.26200885616	16621.578236051	60552.4640070615	368.904548384268	1678.98028451443	1323.54568384139	22422.8583628536	2421.93220866306	2730.36656577436	11156.3856827211	5422.30055814344	27667.0508195105	40495.8721809064	397.055934732363	31814.6134439955	9854.61326239532	5808.69089867275	26434.1950608375	329.327679461013	54794.3055147305	2845.35047173873	12042.3140971055	207.783687814471	21904.9292292614	13735.9921296844	2948.07740583689	404.534358439598	329.715922256649	623.791955905785
Parabacteroides	277149.127924267	38639.9701563482	88.1780567880357	36.1944085207206	19648.5071621699	5241.93128911174	191.521505638753	65805.4790050728	5079.95300827115	83046.8307017034	59485.5008602963	201786.151673572	165046.425114534	22.9874488529263	1104.7083260665	2426.94176199797	56777.5637870057	17483.6436866908	712823.554851906	21149.1274001057	7256.49269923821	70496.0034823658	682015.260918584	7557.24985905662	27769.3695623657	1808.45018854826	30.0184506262599	12.8222858655364	12096.5517067091
Oscillibacter	129.15960730646	366.046667000618	327.648696798954	50.1153348748439	70.4711499741126	3.31004636902099	52394.9750008777	507.404283089095	406.742404410126	180.604325890384	53.7160602627051	491.371343320559	3281.03600040757	8.35907231015502	601.895668727384	316.669240326281	3588.10034764324	469.368714079725	300.435326499389	35845.1335828323	81.2610748535785	164.442230999811	12.6161208792595	646.861303897038	52088.188300939	38.0630959253456	3.57362507455475	12.8222858655364	257.772232960392
Eubacterium	1408.40361813385	9589.70278030491	1200.20132850382	52.8995201456686	97.7966979232584	469.790152517479	9030.19617681973	333.379284701609	162.264257078508	568.208994532055	59.2555289772966	288.348530105476	11399.3395898387	20.8976807753875	5827.73992547702	272.384324269302	292.579406665717	6366.0688692905	137.012955060202	52022.0373829022	342.024225503121	1367.72762169804	32.1137622381151	752.037859482083	10343.6302994496	61.1728327371625	115.070727400663	24.7286941692487	294.626923130383
unclassified_Ruminococcaceae_(miscellaneous)	399.293837972361	13114.9891460814	287.88882364776	36.1944085207206	56.7056483756708	33.1004636902099	13031.3116254696	108.765623992179	361.308412428144	2153.75620281588	70.8380544714424	443.469186469811	13445.1593643623	16.71814462031	756.012343680858	693.540294074948	36233.7741209968	7449.6260459545	233.39603876812	21105.5091462911	909.638897614684	1655.46978034327	95.9589800210345	564.79300608189	28943.9963138685	79.751248605486	27.1595505666161	49.4573883384974	135.625259825566
environmental_samples	235.763274875409	2478.13893515715	10864.4707824173	147.561819353707	1512.76698909444	64.3094723124078	4073.61390234915	1500.71266778046	592.805419193482	4158.46422019915	7473.41474673717	1509.85352979954	3073.38699719662	22.9874488529263	31397.4336155032	1446.25550496806	2120.13671179794	2514.75447779844	626.828626362737	6787.72083108085	897.510378979822	520.818386444576	375.234019484643	1118.37171059898	15813.5086821933	624.416026013407	132.224127758526	172.184981622917	403.085011344927
Lachnoclostridium	69762.4335925611	15100.0999154423	300058.079035337	5245.40505023366	21940.9768164298	1905.40454913858	224702.392420429	71531.8626366052	2594.06458982841	101197.366987395	23601.8297033027	91368.4991299958	107777.216247012	8.35907231015502	97485.1297023519	144376.656432358	3230.73598346369	104872.225435893	1211.67305232811	28636.4129686204	4671.90537814902	1028.3036190243	862.483900109378	70643.133398195	46882.4766501127	40336.4596426963	921.280544220215	2059.80863654223	5125.7503088423
