sequencing_id	P122	P127	P13	P137	P153	P155	P157	P184	P190	P198	P20	P205	P211	P218	P225	P231	P237	P243	P249	P256	P26	P262	P33	P44	P5	P63	P75	P81	P84
group	FOS	FOS	FOS	FOS	FOS	FOS	FOS	FOS	FOS	Control	FOS	Control	Control	Control	Control	Control	Control	Control	Control	Control	FOS	Control	FOS	FOS	FOS	Control	Control	Control	Control
Bacteroides_vulgatus	12974.2277066386	254825.201393901	369.513316893048	479.0604234276	250315.112434339	3690.20965412944	27233.4778662787	68406.5221161307	1245.68207719695	134305.220899489	62276.2125250626	63292.0234263839	43003.9686970821	6.3615929428729	15695.7314775753	142552.313641278	150075.689794524	91812.6675599866	5536.18236602326	47046.7457162327	1687.36525784478	43674.6051777315	12978.7195803493	451834.653872669	38132.3213503908	7734.85473001466	153.768911788139	191.85767112459	18253.5824295815
Bacteroides_ovatus	1677.0305093339	48052.9896136026	1065.24205970802	192.467090937188	1384.31371742141	757.572354189193	857.892302332608	79949.9739869796	1895.02698977834	51903.8812599445	48772.1501196036	1191.76878037709	30559.0924875564	6.3615929428729	70601.2350507829	167632.411543135	5329.69917832932	149835.732232766	2057.3604927191	9697.40843145046	291.598189895086	74718.9614694103	10155.3385361399	9138.05177130469	8599.96218124496	276.14764512715	12.5160742153137	7.37914119709963	20200.6649231951
[Clostridium]_clostridioforme	16890.2080753114	5939.50241016106	174664.489770247	3513.57806156137	1149.13675859075	60.0572340711782	107676.402053061	65273.0607641372	1629.9882499492	54156.6766451008	10713.4523131996	7104.35767145908	72473.5636973212	2.12053098095763	86850.1852867814	55939.6455024377	2401.88767807436	85156.0432419203	843.802229732719	7375.06150548969	1046.82530096227	653.367557348242	580.851331503212	36152.5362698716	10246.8383577575	3599.44171924355	689.814490324002	1623.41106336192	720.782809730189
Staphylococcus_aureus	848.719763770985	1991.64448140126	436.055338806567	172.798921060395	1.6460329576949	1.41867482057901	27298.9865281936	1.26584041043609	192077.992066507	275.516021445357	655.849895919473	685.023601291545	112.119072044853	882.140888078375	206.952272767807	214.125010494436	875.053470610823	753.585257548603	92.326140171397	2023.89089389351	13119.4783930622	863.410305619183	340.327639919591	168.058859004395	907.309411361867	22891.6875477817	4548.34136984499	10302.2035038007	1.68505624717753
Bacteroides_thetaiotaomicron	182614.524131516	2377.8827875336	213.868793033688	10903.1904581279	1109.22045936665	179.225918999815	832.488071786076	4254.23645139363	117.058776757869	4476.39044215653	1015.24281547401	26678.6542675772	4881.89386038461	6.3615929428729	2024.87936477206	97603.1349544702	1347.4729039453	3717.55999112317	6371.18088067851	7226.05866645805	247.675449994571	4089.48405233925	435.160510369095	1583.8995194944	104802.811534834	52.1461070437148	2.50321484306273	2.76717794891236	613616.602522192
Enterococcus_faecium	6827.08513031158	698.411738842052	544.186124416034	1827.73492926483	191.762839571455	202.634053539369	23873.839736698	127.090377207784	4987.14562111829	632.872418402961	225.253308734885	526.782774858698	95.5340826643581	82.7007082573476	1807.94402843984	614.13312362433	255.294299809951	468.38837578603	578.11062342041	374.758867599011	908.956700718991	207.629923472182	13.7660618394441	3153.01529709459	502.887229128845	744393.386603982	826680.2650833	8880.7964307094	172.928897366594
[Ruminococcus]_gnavus	485.116992011481	836.632806675367	90606.761831633	1508.8296034054	2464.93435414811	27496.2824808556	15123.509517381	325.827321646251	161.231900062726	12026.9596499139	423.678695305839	402.999122465666	8847.75104704105	4.24106196191526	143336.714488532	5572.00004826799	54.2475053578701	7261.83810253978	40.1810585587009	2533.49861754188	1699.56601892826	10907.9364474647	44.5485056748678	53570.672998413	25444.5265301974	38.0893303623656	730.938734174318	1889.0601464575	1332.87949151743
Bacteroides_stercoris	833.950079541463	108098.883812331	7.29227637408421	12.643823492224	810.876985784448	3549.52440108869	259926.952846751	1313.94234603267	375.471548091279	1102.4613691577	626.153579561915	642.513935492425	145028.234808462	6.3615929428729	1268.74642670822	656.110868487448	915.519542478026	2398.1266646902	4092.37309331848	1260.15483942692	150.06936132676	572.093458863718	432.483776122536	1083.97114417496	750.696608975083	10849.1109315471	1.78801060218767	235.210125657551	2598.98862924044
Escherichia_coli	247.862155342705	269.836349658666	37.6008000538717	761666.736910131	752.854324025703	94.5783213719342	397.476303775797	572.919369763376	806.159500313629	153498.775373993	281.102630975519	61896.3206105212	637.61332460766	16.9642478476611	3902.1439918951	96.6643482627761	186.995136775323	158.553829070426	58.0142249976749	374.372849881312	1467.75155834221	52665.9967903081	22.3698504890967	202.384328689822	360.584225944915	506.497404937647	498.854958010359	182.633744628216	249.177692551377
Hungatella_hathewayi	3053.29653981209	131.915544825713	812.746990255354	4245.51495483345	3921.26201346866	127.680733852111	29107.6821108689	352.663138347496	271.664708324867	796.354527739319	118.447807289804	10808.5038807392	4741.3758339211	2.12053098095763	974.638643945513	3295.83064714278	48478.0838727233	1319.70606811142	64.1091046666913	1934.52779224629	245.235297777875	54.9235118664946	24.4729988256784	1345.83029657716	13731.2744636523	192.260429448131	79.0300686166949	175.254603431116	896.660555529344
Bacteroides_caccae	13875.8497939226	5636.83730579615	7.06439273739408	66.0288560149478	560.062713855688	581.183784830536	277.733891255907	882.037597991871	366.636923430308	90441.9578919349	3818.33885892917	1059.55810172432	575.70360397499	6.3615929428729	684.008108042322	2185.53855135958	1513.99855862419	3805.6555532615	680.369160089464	13687.0302164376	54.9034248756437	3982.55781652055	1316.18846809352	6553.44586083265	2102.17764480012	4.08099968168202	14.3040848175013	40.585276584048	1302.12721500644
